信用评分表,,
变量名称,取值范围,得分
基准分,//,650
逾期30-59天的次数,"(-inf, 1.0]",15
,"(1.0, 2.0]",-91
,"(2.0, 3.0]",-115
,"(3.0, 4.0]",-132
,"(4.0, 5.0]",-138
,"(5.0, 6.0]",-156
,"(6.0, 7.0]",-153
,"(7.0, 8.0]",-106
,"(8.0, 9.0]",-110
,"(9.0, inf]",-161
逾期60-89天的次数,"(-inf, 1.0]",5
,"(1.0, 2.0]",-124
,"(2.0, 3.0]",-136
,"(3.0, 4.0]",-146
,"(4.0, 5.0]",-146
,"(5.0, 6.0]",-175
,"(6.0, 7.0]",-134
,"(7.0, 8.0]",-124
,"(8.0, 9.0]",200
,"(9.0, inf]",-133
逾期90天以上的次数,"(-inf, 1.0]",9
,"(1.0, 2.0]",-137
,"(2.0, 3.0]",-153
,"(3.0, 4.0]",-174
,"(4.0, 5.0]",-165
,"(5.0, 6.0]",-158
,"(6.0, 7.0]",-214
,"(7.0, 8.0]",-185
,"(8.0, 9.0]",-190
,"(9.0, inf]",-147
"信用卡和信贷额度的总
余额除以信贷限额","(-0.001, 0.0192]",52
,"(0.0192, 0.0832]",58
,"(0.0832, 0.271]",35
,"(0.271, 0.699]",-2
,"(0.699, 50708.0]",-50
年龄,"(-inf, 25.0]",-20
,"(25.0, 40.0]",-17
,"(40.0, 50.0]",-8
,"(50.0, 60.0]",3
,"(60.0, 70.0]",25
,"(70.0, inf]",41
